ISSN,Institution
2352-409X,yor
0278-4165,yor
1060-3743,yor
0008-6215,yor
0014-2921,yor
1879-9817,yor
0375-9474,yor
1090-7807,yor
0920-3796,yor
0926-6690,yor
0031-9422,yor
0165-7836,yor
1369-5266,yor
0165-2370,yor
0095-4470,yor
0929-1393,yor
2212-0416,yor
1877-3435,yor
0146-6380,yor
0375-9601,yor
0889-4906,yor
0010-4655,yor
0167-6393,yor
1074-7427,yor
0882-6110,gla
1876-2018,gla
1871-4021,gla
1566-0141,gla
1447-6770,gla
2352-409X,gla
1467-2987,gla
1878-0040,gla
1871-1871,gla
1130-8621,gla
1062-9408,gla
2213-2198,gla
1270-9638,gla
1296-2074,gla
2352-7218,gla
1567-1348,gla
0002-8177,gla
2110-7017,gla
2212-4209,gla
1036-7314,gla
0885-2014,gla
2588-932X,gla
1042-444X,gla
1322-7696,gla
0889-4906,gla
0898-5898,gla
1878-0199,gla
1877-1297,gla
0365-6691,gla
1443-9506,gla
2211-3649,gla
0300-2896,gla
0828-282X,gla
1876-2859,gla
1042-9573,gla
2212-0416,gla
2211-9264,gla
1760-2734,gla
1479-666X,gla
1477-8939,gla
0398-7620,gla
1061-9518,gla
2213-8587,gla
1071-9164,gla
1072-7515,gla
2211-3681,gla
0030-4387,gla
0191-3085,gla
0305-7488,gla
0313-5926,gla
0748-7983,gla
1060-3743,gla
0161-8938,gla
2214-790X,gla
1877-5845,gla
2212-1447,gla
2214-1405,gla
1044-0283,gla
0939-4753,gla
1946-9837,gla
1369-7021,gla
0211-139X,gla
2214-2096,gla
1051-0443,gla
2211-0348,gla
0748-5751,gla
2542-4513,gla
1871-1014,gla
0009-739X,gla
1551-7411,gla
0367-326X,gla
1815-5669,gla
1286-0115,gla
2213-1779,gla
0953-6205,gla
0300-8932,gla
0301-472X,gla
0945-053X,gla
1052-3057,gla
0276-5624,gla
0148-6195,gla
1344-6223,gla
1699-8855,gla
0164-0704,gla
2211-6958,gla
0027-9684,gla
1094-9194,gla
0020-7519,gla
1877-0517,gla
2451-9022,gla
1386-4181,gla
0266-4356,gla
0972-978X,gla
0024-4937,gla
1871-403X,gla
1748-6815,gla
0149-2918,gla
2212-571X,gla
2405-4577,gla
1568-9972,gla
1743-6095,gla
1878-7452,gla
2352-152X,gla
0924-2716,gla
0151-9638,gla
2214-6350,gla
1053-2498,gla
0304-422X,gla
1542-3565,gla
1699-258X,gla
1081-1206,gla
1617-1381,gla
1547-5271,gla
1521-690X,gla
1120-1797,gla
0210-4806,gla
1557-2013,gla
0181-5512,gla
0188-4409,gla
1383-5769,gla
1701-2163,gla
1044-579X,gla
1297-319X,gla
1568-1637,gla
1226-086X,gla
1090-3798,gla
0014-2565,gla
1529-9430,gla
1158-1360,gla
1472-6483,gla
0034-5288,gla
1957-2557,gla
0002-9440,gla
0901-5027,gla
1462-3889,gla
1590-8658,gla
1467-0895,gla
2210-6561,gla
0380-1330,gla
0211-5638,gla
1047-2797,gla
0305-7372,gla
2213-624X,gla
1262-3636,gla
1521-6942,gla
0210-5691,gla
1056-8719,gla
2214-367X,gla
0026-0495,gla
2530-0164,gla
0890-4065,gla
0025-7753,gla
1499-2671,gla
0003-4975,gla
0034-9356,gla
2212-6864,gla
1058-2746,gla
0001-706X,gla
1877-959X,gla
1556-3707,gla
0963-8687,gla
1878-0210,gla
0041-624X,gla
1001-6279,gla
0166-6851,gla
0899-8256,gla
0167-9317,gla
0898-6568,gla
1568-1637,ucl
0272-6386,ucl
0002-9394,ucl
0003-9861,ucl
1568-9972,ucl
1369-703X,ucl
0304-4165,ucl
0387-7604,ucl
0361-9230,ucl
0266-4356,ucl
0958-9465,ucl
0255-2701,ucl
1198-743X,ucl
0927-0256,ucl
0010-4655,ucl
0198-9715,ucl
2352-1546,ucl
1877-3435,ucl
0959-437X,ucl
0952-7915,ucl
1471-4892,ucl
1465-3249,ucl
0109-5641,ucl
0920-1211,ucl
1090-3798,ucl
0014-4835,ucl
0016-5107,ucl
0090-8258,ucl
0378-5955,ucl
1547-5271,ucl
2212-4209,ucl
0165-5876,ucl
1936-878X,ucl
0278-4165,ucl
2352-409X,ucl
0967-5868,ucl
0021-9924,ucl
1296-2074,ucl
0022-0531,ucl
1572-6657,ucl
0378-8741,ucl
0022-1759,ucl
1090-7807,ucl
0022-2852,ucl
0022-3468,ucl
1748-6815,ucl
0022-4073,ucl
1060-3743,ucl
0022-4596,ucl
1525-8610,ucl
1751-6161,ucl
0094-1190,ucl
0892-1997,ucl
0024-3795,ucl
0024-3841,ucl
0730-725X,ucl
1361-8415,ucl
0026-0495,ucl
0026-265X,ucl
0026-2714,ucl
0303-7207,ucl
1044-7431,ucl
1096-7192,ucl
1055-7903,ucl
1525-0016,ucl
0027-5107,ucl
1549-9634,ucl
0893-6080,ucl
1074-7427,ucl
0197-0186,ucl
0960-8966,ucl
0168-0102,ucl
0887-8994,ucl
1043-6618,ucl
1540-7489,ucl
0305-9006,ucl
1350-9462,ucl
1472-6483,ucl
1059-1311,ucl
0039-6257,ucl
1064-7481,ucl
0002-9440,ucl
0003-4975,ucl
0363-5023,ucl
1053-2498,ucl
0002-8177,ucl
2213-8587,ucl
2352-3018,ucl
2213-2600,ucl
0041-008X,ucl
0090-4295,ucl
0109-5641,man
0143-4004,man
1556-0864,man
0169-5002,man
0029-5493,man
0300-9440,man
0748-7983,man
0936-6555,man
0010-4655,man
1044-5803,man
1096-7192,man
0014-3057,man
0022-2828,man
0734-743X,man
0168-583X,man
1367-0484,man
0090-8258,man
0254-0584,man
0002-9394,man
0002-9440,man
1551-7411,man
0927-0256,man
1090-7807,man
0167-7322,man
0003-9861,man
0308-0161,man
0022-5096,man
0142-0615,man
0277-5387,man
0309-1708,man
0141-3910,man
2213-2600,man
0370-1573,man
1743-9159,man
1096-7176,man
1569-1993,man
0378-7796,man
0304-3991,man
0883-2927,man
0378-5955,man
0950-7051,man
1532-0464,man
1369-7021,man
0375-9474,man
1198-743X,man
0002-8177,man
1878-0180,man
0377-0257,man
1572-6657,man
0378-3812,man
0255-2701,man
0169-8095,man
0045-7930,man
0079-6425,man
0165-5876,man
0741-5214,man
0378-8733,man
0001-8686,man
0021-8693,man
0920-3796,man
0146-6380,man
2451-9294,man
0038-1098,man
2214-790X,ews
2212-0416,ews
1878-0040,ews
2352-6734,ews
1040-2608,ews
1566-1199,ews
1566-0141,ews
1042-9573,ews
0030-4387,ews
1342-937X,ews
0169-1368,ews
0301-9268,ews
0024-4937,ews
0885-2014,ews
1877-3435,ews
1572-1000,ews
1871-1014,ews
0377-8398,ews
0305-4179,ews
1385-1101,ews
1617-1381,ews
0305-7488,ews
2210-4224,ews
0165-7836,ews
0144-8609,ews
1369-7021,ews
1387-7003,ews
1439-1791,ews
1367-9120,ews
0967-0645,ews
0166-6851,ews
0967-0637,ews
0016-6480,ews
0002-9440,ews
0095-0696,ews
0368-2048,ews
0926-2040,ews
0040-5809,ews
0163-4453,ews
0045-2068,ews
0883-2927,ews
0022-1910,ews
0277-5387,ews
0022-1139,ews
0079-6611,ews
1090-7807,ews
0021-8693,ews
2352-409x,dur
1879-9817,dur
1447-6770,dur
1566-0141,dur
1878-0040,dur
1060-3743,dur
2212-0416,dur
0882-6110,dur
0160-9327,dur
1871-1871,dur
1042-444x,dur
0024-4937,dur
2212-4209,dur
1342-937x,dur
0191-3085,dur
2214-6350,dur
1296-2074,dur
2212-6864,dur
1044-0283,dur
1062-9408,dur
2110-7017,dur
1566-1199,dur
1871-1014,dur
0313-5926,dur
2212-571x,dur
1367-9120,dur
2214-790x,dur
0148-6195,dur
2352-152x,dur
2211-3681,dur
0924-2716,dur
1061-9518,dur
0885-2014,dur
2213-3054,dur
0161-8938,dur
1815-5669,dur
0278-4165,dur
0375-9474,dur
0939-3625,dur
0030-4387,dur
0016-6995,dur
1386-4181,dur
0889-4906,dur
0963-8687,dur
0956-5221,dur
1472-8117,dur
2405-8505,dur
1617-1381,dur
0003-5521,dur
0276-5624,dur
1871-174x,dur
1350-4487,dur
0010-4655,dur
0304-422x,dur
0169-1368,dur
1075-2935,dur
1001-6279,dur
2211-2669,dur
1878-0199,dur
2213-1337,dur
0301-9268,dur
1755-5345,dur
1369-7021,dur
0898-5898,dur
1467-0895,dur
0164-0704,dur
1433-8319,dur
2352-4669,dur
1042-9573,dur
2211-6958,dur
0380-1330,dur
1877-3435,dur
1674-2052,dur
1571-0645,dur
0305-7488,dur
0739-8859,dur
1055-7903,dur
1369-5266,dur
2095-9273,dur
0341-8162,dur
1049-0078,dur
2352-4677,dur
0169-1317,dur
1877-9166,dur
1226-086x,dur
1477-3880,dur
2352-2267,dur
0899-8256,dur
1389-9341,dur
2211-9493,dur
0039-3681,dur
0095-0696,dur
2352-9385,dur
0160-791x,dur
1876-2859,lee
1146-609X,lee
0921-8831,lee
0882-6110,lee
1875-9637,lee
1568-1637,lee
2211-9264,lee
2213-6657,lee
1081-1206,lee
1876-2018,lee
1075-2935,lee
1568-9972,lee
1439-1791,lee
2352-5738,lee
1499-2671,lee
2213-624X,lee
0958-9465,lee
1004-9541,lee
1877-9166,lee
1542-3565,lee
2152-2669,lee
0936-6555,lee
0149-2918,lee
1322-7696,lee
0198-9715,lee
0011-2240,lee
1359-0294,lee
1877-3435,lee
1877-1297,lee
1125-7865,lee
0142-694X,lee
1871-4021,lee
1262-3636,lee
1590-8658,lee
2211-6958,lee
0313-5926,lee
0939-3625,lee
2212-0416,lee
1566-0141,lee
1878-0040,lee
2352-4669,lee
2211-4645,lee
2210-4224,lee
1161-0301,lee
1090-3798,lee
0748-7983,lee
1550-8307,lee
0955-5986,lee
2213-3291,lee
1389-9341,lee
0378-3820,lee
0016-5107,lee
2352-3808,lee
0197-4572,lee
2211-9124,lee
1342-937X,lee
1547-5271,lee
1443-9506,lee
1466-8564,lee
2110-7017,lee
2212-4209,lee
1477-3880,lee
0924-2716,lee
1297-319X,lee
1617-1381,lee
0099-1333,lee
0890-4065,lee
2211-3681,lee
2352-409X,lee
2214-9635,lee
2352-7102,lee
2352-6734,lee
1755-5345,lee
0976-5662,lee
2212-9820,lee
1296-2074,lee
1569-1993,lee
2212-571X,lee
2352-152X,lee
1001-0742,lee
1447-6770,lee
1226-086X,lee
0164-0704,lee
1526-6125,lee
1876-7982,lee
1042-444X,lee
1875-5100,lee
1701-2163,lee
0949-2658,lee
0161-8938,lee
2210-9706,lee
1060-3743,lee
1058-2746,lee
0963-8687,lee
1878-7452,lee
1546-1440,lee
1072-7515,lee
1525-8610,lee
1743-9671,lee
0027-9684,lee
1876-1070,lee
0965-206X,lee
2214-1405,lee
2214-7144,lee
0898-5898,lee
0024-4937,lee
0023-6438,lee
1369-7021,lee
2352-4928,lee
0945-053X,lee
0025-6196,lee
1878-0199,lee
0892-6875,lee
0262-4079,lee
1062-9408,lee
0939-4753,lee
1871-403X,lee
0030-4387,lee
0169-1368,lee
1877-1327,lee
1524-9042,lee
1674-2001,lee
1433-8319,lee
0304-422X,lee
1540-7489,lee
1046-5928,lee
2352-9385,lee
1472-6483,lee
0191-3085,lee
1551-7411,lee
2210-5395,lee
0739-8859,lee
0956-5221,lee
2352-0124,lee
2352-5509,lee
0266-4356,lee
0828-282X,lee
2214-790X,lee
1472-8117,lee
2213-2198,lee
1067-2516,lee
0002-8177,lee
0968-0160,lee
2213-8587,lee
1529-9430,lee
1479-666X,lee
2451-9049,lee
1871-1871,lee
0191-2615,lee
2214-367X,lee
1477-8939,lee
0886-7798,lee
2212-0955,lee
0090-4295,lee
0957-1787,lee
2214-2096,lee
0939-3889,lee
1540-7489,cam
1369-5266,cam
0959-437X,cam
0143-4004,cam
1090-7807,cam
0022-5096,cam
0921-4534,cam
0022-4596,cam
1566-1199,cam
0038-1098,cam
0277-5387,cam
0370-1573,cam
1674-2052,cam
0024-3841,cam
0024-4937,cam
0039-3681,cam
2352-409X,cam
0022-3093,cam
0927-0256,cam
0304-3991,cam
0377-0427,cam
0952-7915,cam
2451-9456,cam
2352-1546,cam
0370-2693,cam
0030-4018,cam
0921-4526,cam
1047-8477,cam
1055-7903,cam
0305-7488,cam
0377-0257,cam
0010-4655,cam
1043-2760,cam
2213-8587,cam
0094-1190,cam
0143-7208,cam
1572-6657,cam
0304-4165,cam
0003-9861,cam
0888-7543,cam
0306-4549,cam
2451-9294,cam
0143-4160,cam
0379-6779,cam
0003-4916,cam
0142-694X,cam
0378-5955,cam
1074-7427,cam
0168-1702,cam
1879-6257,cam
0301-472X,cam
0009-9260,cam
2451-9650,cam
1296-2074,cam
0315-0860,cam
2213-3054,cam
2352-2267,cam
0003-5521,cam
2212-0548,cam
0001-8708,cam
0166-0462,cam
1877-3435,cam
0021-8693,cam
2212-0416,cam
1051-1377,cam
1871-1014,cam
0954-349X,cam
1617-1381,cam
2210-4224,cam
0140-1963,cam
0030-4387,cam
1001-0742,cam
2589-1529,cam
2542-4351,cam
0899-8256,cam
2452-3062,cam
0735-1097,icl
0378-3812,icl
0045-7949,icl
0020-7403,icl
0022-5096,icl
0263-8231,icl
2213-2600,icl
0749-6419,icl
0741-5214,icl
0301-9322,icl
1540-7489,icl
1365-1609,icl
0045-7930,icl
0927-0256,icl
1096-7176,icl
0892-6875,icl
1270-9638,icl
0266-352X,icl
0309-1708,icl
0301-5629,icl
0010-4485,icl
2213-8587,icl
1361-8415,icl
0167-7322,icl
0029-5493,icl
0377-0427,icl
2542-4351,icl
0375-9601,icl
1751-6161,icl
0370-1573,icl
0921-8890,icl
1566-1199,icl
1078-5884,icl
0734-743X,icl
0191-2615,icl
1572-6657,icl
0030-4018,icl
0303-7207,icl
0272-6386,icl
1350-4533,icl
0003-4975,icl
2213-2198,icl
1547-5271,icl
0022-5223,icl
0041-624X,icl
0952-7915,icl
0142-727X,icl
0141-9331,icl
0167-6636,icl
1198-743X,icl
0010-4655,icl
0001-8686,icl
1525-0016,icl
0022-1759,icl
1743-9191,icl
0963-8695,icl
1936-8798,icl
0001-706X,oxf
0003-9861,oxf
0006-4971,oxf
2451-9456,oxf
2451-9294,oxf
0301-0104,oxf
1198-743X,oxf
0927-0256,oxf
0959-437X,oxf
0952-7915,oxf
1369-5266,oxf
1568-7864,oxf
2405-8297,oxf
0014-4983,oxf
0920-3796,oxf
0924-8579,oxf
0734-743X,oxf
0020-7403,oxf
0749-6419,oxf
1936-878X,oxf
2542-4351,oxf
2352-409X,oxf
0022-0531,oxf
1572-6657,oxf
0022-1139,oxf
0022-1236,oxf
0022-1759,oxf
0163-4453,oxf
1090-7807,oxf
0022-2828,oxf
0022-4596,oxf
1047-8477,oxf
0022-5096,oxf
1361-8415,oxf
0161-5890,oxf
1055-7903,oxf
1525-0016,oxf
0893-6080,oxf
0375-9601,oxf
0370-1573,oxf
0277-5387,oxf
0378-8733,oxf
2213-8587,oxf
2213-2600,oxf
0304-3991,oxf
0301-5629,oxf
0001-4079,ncl
2352-409X,ncl
1871-1871,ncl
2352-152X,ncl
0002-8177,ncl
1525-8610,ncl
2212-0416,ncl
2212-9820,ncl
1878-0040,ncl
1551-7411,ncl
0960-8966,ncl
1053-2498,ncl
0109-5641,ncl
2211-9264,ncl
1090-3798,ncl
1569-1993,ncl
0266-4356,ncl
1529-9430,ncl
0016-5107,ncl
0890-4065,ncl
0892-1997,ncl
1262-3636,ncl
1567-7249,ncl
1540-7489,ncl
0924-2716,ncl
1542-3565,ncl
1064-7481,ncl
0022-0736,ncl
1547-5271,ncl
1769-7212,ncl
0963-8695,ncl
1590-8658,ncl
0002-9440,ncl
0149-2918,ncl
0090-4295,ncl
1568-1637,ncl
1521-6942,ncl
1368-8375,ncl
0748-7983,ncl
0003-4975,ncl
0301-472X,ncl
0936-6555,ncl
0889-9746,ncl
0723-2020,ncl
1465-3249,ncl
0021-9924,ncl
0002-9394,ncl
1047-2797,ncl
0168-1699,ncl
0887-8994,ncl
2213-8587,ncl
2212-4403,ncl
0025-6196,ncl
0171-2985,ncl
0047-6374,ncl
0950-4230,ncl
0009-9260,ncl
0266-352X,ncl
0951-8339,ncl
1052-3057,ncl
1161-0301,ncl
2468-1156,ncl
0013-7952,ncl
0255-2701,ncl
0146-6380,ncl
2213-2600,ncl
1096-7192,ncl
0090-8258,ncl
0309-1708,ncl
0022-3468,ncl
0378-3820,ncl
0967-0637,ncl
0278-6915,ncl
0378-4274,ncl
0967-0645,ncl
0161-5890,ncl
1871-1413,ncl
0022-1759,ncl
0003-9969,ncl
0304-4165,ncl
0300-483X,ncl
0167-7012,ncl
1878-0180,ncl
1521-6616,ncl
2451-9448,ncl
0041-008X,ncl
1760-2734,liv
0378-1135,liv
0034-5288,liv
1946-9837,liv
0021-9975,liv
0165-2427,liv
0191-2615,liv
0168-583X,liv
1043-6618,liv
0733-8619,liv
0001-4079,liv
1467-2987,liv
1166-7087,liv
0025-7753,liv
0365-6691,liv
1130-8621,liv
0016-5107,liv
0936-6555,liv
1424-3903,liv
0300-2896,liv
0009-739X,liv
1067-2516,liv
1198-743X,liv
0210-5691,liv
0151-9638,liv
2542-4513,liv
0300-8932,liv
0193-953X,liv
2213-2600,liv
0211-139X,liv
0213-005X,liv
0094-1298,liv
0002-9629,liv
0213-9251,liv
0022-3468,liv
0181-5512,liv
1120-1797,liv
0733-8651,liv
2352-3018,liv
2213-2198,liv
0090-8258,liv
2352-4642,liv
0025-5408,liv
0014-4835,liv
0020-7519,liv
0398-7620,liv
0761-8425,liv
0924-8579,liv
0001-706X,liv
1877-0517,liv
1567-1348,liv
0166-3615,liv
1878-0180,liv
0031-9201,liv
1361-3723,liv
0022-4596,liv
0300-9440,liv
0921-4488,liv
1878-1306,liv
1558-4240,liv
1528-0020,liv
1558-3597,liv
0379-7112,edi
1467-2987,edi
0378-1135,edi
1094-9194,edi
0263-8231,edi
0749-8063,edi
0020-7519,edi
2213-2600,edi
0165-2427,edi
1557-5063,edi
1540-7489,edi
0001-706X,edi
0303-7207,edi
2212-4209,edi
0952-7915,edi
0002-9440,edi
0034-5288,edi
0021-9975,edi
2212-0416,edi
0748-7983,edi
0741-5214,edi
1525-0016,edi
1567-1348,edi
1743-9159,edi
1877-3435,edi
2213-8587,edi
0166-6851,edi
0308-521X,edi
1386-6532,edi
0013-7952,edi
0168-583X,edi
0016-6480,edi
1871-1413,edi
0301-472X,edi
0010-4655,edi
0266-352X,edi
0095-0696,edi
1055-7903,edi
0959-437X,edi
1198-743X,edi
0378-3812,edi
1367-9120,edi
0165-5728,edi
0168-1702,edi
0167-7322,edi
0921-4488,edi
0828-282X,edi
0969-8043,edi
0016-5107,edi
0888-7543,edi
0301-5629,edi
0960-0760,edi
0024-4937,edi
0168-1923,edi
0145-305X,edi
0195-5616,edi
0735-1097,edi
2352-409X,abd
2213-2198,abd
1875-5100,abd
2212-0416,abd
2212-9820,abd
1749-4613,abd
1050-4648,abd
1479-666X,abd
1871-403X,abd
1443-9506,abd
2211-3681,abd
1472-6483,abd
2214-790X,abd
1120-1797,abd
1081-1206,abd
0044-5231,abd
1755-5345,abd
1525-8610,abd
1566-0141,abd
1072-7515,abd
2352-7102,abd
2213-624X,abd
2210-5395,abd
2211-0348,abd
1226-086X,abd
0020-7462,abd
0090-4295,abd
2110-7017,abd
2352-4669,abd
0950-4230,abd
2352-4855,abd
1342-937X,abd
1871-4021,abd
2211-8837,abd
1529-9430,abd
2210-7789,abd
1551-7411,abd
2352-5525,abd
1002-0160,abd
1439-1791,abd
1878-0199,abd
1871-1871,abd
0926-6690,abd
0739-8859,abd
2214-9635,abd
1874-7787,abd
1004-9541,abd
1879-9817,abd
0266-4356,abd
0748-7983,abd
1550-8307,abd
0939-4753,abd
1617-1381,abd
0166-5162,abd
2214-6350,abd
1878-0083,abd
0363-5023,abd
1062-9408,abd
1042-444X,abd
1385-1101,abd
1878-7452,abd
0278-4165,abd
1556-0864,abd
1568-9972,abd
1001-0742,abd
0309-1708,abd
0341-8162,abd
1447-6770,abd
0276-5624,abd
0313-5926,abd
2213-2600,abd
2405-4569,abd
1164-5563,abd
0146-6380,abd
1007-5704,abd
1876-2018,abd
1570-677X,abd
0165-7836,abd
1878-0040,abd
0009-9120,abd
1574-9541,abd
0145-305X,abd
0883-2927,abd
1525-1578,abd
0163-4453,abd
2095-4956,abd
0882-6110,abd
1568-1637,abd
1198-743X,abd
1262-3636,abd
2352-2267,abd
1568-9883,abd
1044-0283,abd
0030-4387,abd
0924-8579,abd
0885-2014,abd
1058-2746,abd
0019-0578,abd
1464-343X,abd
0022-4049,abd
2210-4224,abd
1877-1297,abd
0967-0637,abd
1051-1377,abd
0973-6883,abd
0160-9327,abd
1433-8319,abd
1567-1348,abd
0890-6238,abd
0976-5662,abd
0009-9260,abd
1322-7696,abd
0923-2508,abd
1569-1993,abd
0161-8938,abd
1865-9217,abd
2352-1546,abd
1161-0301,abd
0002-8177,kcl
1876-2018,kcl
2213-2201,kcl
2451-9030,kcl
0109-5641,kcl
1538-9375,kcl
1545-7214,kcl
1873-5282,kcl
2210-7797,kcl
0266-4356,kcl
1056-4993,kcl
1532-2130,kcl
1558-3147,kcl
1743-6109,kcl
0748-7983,kcl
1556-3871,kcl
1558-0512,kcl
1361-8423,kcl
0828-282X,kcl
2213-8587,kcl
1568-1637,kcl
0016-5107,kcl
2213-2600,kcl
1557-9875,kcl
1873-0183,kcl
1399-0020,kcl
0925-4927,kcl
1556-3715,kcl
1873-5894,kcl
1527-9995,kcl
0041-0101,kcl
0967-5868,kcl
0163-8343,kcl
1552-6259,kcl
0301-5629,kcl
1059-1311,kcl
1523-6838,kcl
1368-8375,kcl
1096-1186,kcl
1873-6483,kcl
1074-7427,kcl
2352-1554,kcl
0022-3468,kcl
1095-9157,kcl
1095-8584,kcl
1471-4892,kcl
0741-5214,kcl
1743-9159,kcl
1873-2364,kcl
1872-9614,kcl
1873-5177,kcl
1879-2472,kcl
1525-0024,kcl
1873-2747,kcl
0161-5890,kcl
0041-1345,kcl
0022-1759,kcl
1879-1506,kcl
1095-9327,kcl
0304-3975,kcl
1060-3743,lan
0956-5221,lan
0947-3580,lan
1361-3723,lan
0378-4290,lan
1075-2935,lan
0378-3774,lan
0305-0548,lan
0167-9473,lan
0341-8162,lan
0142-694X,lan
2212-0416,lan
0167-1987,lan
1877-8585,lan
1877-3435,lan
0098-8472,lan
0191-2615,lan
2211-6958,lan
0168-1923,lan
0929-1393,lan
0924-2716,lan
0168-9452,lan
0032-0633,lan
0378-5955,lan
0370-1573,lan
0273-1177,lan
0010-4655,lan
1364-6826,lan
2214-790X,lan
1447-6770,lan
2352-409X,she
0890-6955,she
0892-1997,she
0920-3796,she
1091-8531,she
1060-3743,she
0958-9465,she
0022-3093,she
1526-6125,she
0921-8890,she
0309-1708,she
0029-5493,she
0022-4596,she
1878-0180,she
0378-3820,she
0020-7403,she
1044-5803,she